Notetype,NoteTemplate,counts
Progress Note,STD Encounter - 2021 MCHD,36
Progress Note,Medicare Visit,36
Progress Note,CO-C-19 Pfizer Vacc. Bivalent,36
Progress Note,Hypothyroidism,36
Progress Note,Injection Note,35
Admit Note,BF 2022 WCC 3-5 DAYS,35
Progress Note,EMG - UE,35
H&P Note,Lab Only,35
Progress Note,MH-New OB ACOG Note,35
Progress Note,CD- TB Individual Contact Form,34
Progress Note,Lamaze Childbirth Classes,34
Admit Note,Misc. Provider Note,34
Well Child Check,CH Physical 15-21 Years Old,34
Admit Note,BF 2022 WCC 5 YEARS,34
BCCCP Follow Up,BCCCP-Breast Screening Data,34
Progress Note,FP Female Flow 2814F NCHD,34
Encounter Note,LCHD FP Annual/Initial Female,34
Progress Note,Expedited Partner Therapy,34
Progress Note,Allergy Shot,33
Admit Note,CH PROBLEM/SICK NOTE-NEW,33
Progress Note,TB - Record of TB Screening,33
Progress Note,Active TB Flow Sheet,33
Progress Note,CH-Well Child 2 1/2 years,33
Progress Note,FP - Postpartum Visit,33
Progress Note,Dental Fluoride Varnish,33
Admit Note,BF 2022 WCC 18 MONTHS,33
Surgery Note,CP-FNA,33
Admit Note,TB Risk Screen,32
Progress Note,TB,32
BH Note,BH Treatment Plan - Adult,32
Progress Note,BF-Well Child 2 yrs RPM,32
Progress Note,BCCCP Breast Form,32
Well Child Check,CH Physical 5-6 Years Old,32
Admit Note,BF 2022 WCC 7-8 YEARS,32
Admit Note,BF 2022 WCC 4 YEARS,32
Progress Note,Colposcopy,31
Progress Note,Diabetes,31
Progress Note,Referral,31
Progress Note,zzzCH-Well Child 2 years,31
TB Epidemiology Record,TB Medications,31
Progress Note,Oral Health Risk Assessment,31
Off-Service Note,Phone Encounter,31
Admit Note,BF 2022 WCC 2 MONTHS,31
Admit Note,APC-Specialty PE Recheck,31
Admit Note,BF 2022 WCC 12 MONTHS,31
Admit Note,BF 2022 WCC 1 MONTH,31
Progress Note,CD - STD Treatment Only,31
MH Intake,MH-RETURN PRENATAL.HCDPH,31
Progress Note,Clinic Support Encounter,30
Admit Note,BF 2022 WCC 3 YEARS,30
Psychology,Cogsmart Notes,30
Admit Note,BF 2022 WCC 2 YEARS,30
Admit Note,BF 2022 WCC 4 MONTHS,30
Progress Note,TB/LTBI Flow Sheet,30
Progress Note,TB Screening Form - WCHD,30
Progress Note,Barton Allergy Shots,30
Progress Note,BF - Well Child 6 Year NEW,30
Encounter Note,LCHD FP Limited/Method/Problem,30
H&P Note,Harry - Med Follow Up,30
Progress Note,BRIGHT FUTURES PROBLEM VISIT,30
Progress Note,Initial Visit,29
Admit Note,Suboxone Intake Hx and Phy,29
Progress Note,BF-Well Child 2 to 5 Days-WCHD,29
Progress Note,Headache or Pain,29
Progress Note,BF - Well Child 18-21 Year NEW,29
Child Health,CH-BF Well Child 5-6yrs. LCHD,29
Progress Note,TB Epidemiological Record Pt 2,29
Progress Note,FP Male Flow 2814M,29
Progress Note,"Gout, Acute",29
Admit Note,BF 2022 WCC 6 MONTHS,29
Progress Note,NOTE,29
Plan B,CCHD FP Emergency Contraceptio,29
Well Child,Well Exam 17-18 Year Exam,29
Progress Note,WW Annual Screening 4049A 2020,29
Progress Note,WW Annual Screening 4051A 2020,29
Progress Note,Chronic Pain,29
Admit Note,BF 2022 WCC 15 MONTHS,29
Progress Note,BF - Well Child 1 Month - WCHD,29
Progress Note,DCHD BCCCP Data,28
VLab Report ,Left Upper Extre Bypass Graft ,28
Progress Note,TB Epidemiological Record Pt 1,28
Maternity Visit,MH - Physical Exam,28
Initial Medical,Med Eval Dr. Kasuganti,28
Progress Note,ADHD Initial Visit.HCDPH,28
Progress Note,BH New Diagnostic Assessment,28
Progress Note,DOT Physical,28
EIC Hx,EIC Health Hx,28
Admit Note,2018 Breast Screening Form,28
Progress Note,TB Epi Record NEW,28
Progress Note,FP Nexplanon Rem/Ins,28
Progress Note,Neck Pain,27
Progress Note,SCHD BF Well Child 4yrs.,27
Phone Encounter,Phone Encounter SCHD,27
Admit Note,BCCCP 2019 Cervical Screening,27
Progress Note,IUD Insertion  RPM,26
BH Note,BH Treatment Plan - Peds,26
Progress Note,Ear Clogged,26
Progress Note,BCCCP Referral,26
Well Child,Well Child 7-8 Year Exam,26
Progress Note,CD - Bloodborn Exposure Report,26
Consultation Report,MH OB US Results SCHD,26
Progress Note,Cholesterol 6 month f/u WCHD,26
Progress Note,WW Annual Screening 4049A 2018,26
Admit Note,Well Child 15 month visit 2019,26
Progress Note,BC FP Female Physical Exam,26
Progress Note,Test,26
Well Child Check,CH Physical 9-10 Years Old,26
Progress Note,TB DHHS 2810,25
Admit Note,BF 2022 WCC 6 YEARS,25
Admit Note,FP-Nexplanon REMOVAL/INSERTION,25
Admit Note,Smoking Cessation,25
Admit Note,TB Nurse Note,25
Phone Encounter,Outside Referral,25
Progress Note,TB Epi Record Pt1- CCHD,25
Progress Note,ZZZ BCCCP-Cervical Screen Data,25
Maternal Return,CCHD PN Established,25
Progress Note,DCHD BCCCP,25
H&P Note,Lab Results,25
Admit Note,BCCCP Cervical Cancer 2019,25
CH Sick Visit,CCHD CH SICK Visit,25
Family Planning,Nurses Note,25
Progress Note,FP -Nexplanon Insertion - WCHD,24
Progress Note,Barton Lab Only  - Covid 19,24
Off-Service Note,Nurse visit,24
Progress Note,SCHD BF Well Child 9-10yrs.,24
TB Notes,TB Monthly Assessment,24
Progress Note,FP Male Flow/Green Sheet,24
Depo or Pill Check,CCHD FP Depo/Pill Check,24
Admit Note,BF 2022 WCC 9 MONTHS,24
Progress Note,CD - Skin Rash,24
Mirena IUD Insertion,FP Mirena IUD Insertion- LCHD,24
Progress Note,Phone Encounter NCHD,24
Progress Note,CO -C-19 Pfz Vaccine-4th Dose,24
Well Child,Well Child 5-6 Year Exam,23
WiseWoman,WW Health Coaching 4050A,23
Phone Encounter,ASCVD Risk Calculation,23
Progress Note,Insomnia,23
Encounter Note,LCHD Adult Physical Note,23
TB Flow Sheet,CCHD TB Flow Sheet,23
Admit Note,AH-Follow Up Visit,23
TB SCREENING FORM,TB Screening Form NCHD,23
MH return visit,MH Return Note NCHD,23
Progress Note,Routine - Medi Annual Wellness,22
MH Note,MESH FQHC,22
CH Initial Hx,CH Initial Hx 2023,22
Progress Note,MAT Intake Note,22
Progress Note,BF Well Child 2 Months,22
Progress Note,TB Screening/ IGRA,22
Progress Note,ST Follow-Up,22
Encounter Note,LCHD General Nurse Note,22
Progress Note,Implanon/Nexplanon Removal,22
Psychology Assessment,Psych-Assessment Note,22
MH Intake,Phone Encounter,22
Progress Note,Skilled Nurse Home Visit.HCDPH,22
Progress Note,Wilkes Co AH Enrollment,22
Progress Note,ER Follow up,22
Encounter Note,LCHD BCCCP Screening Data,21
Provider Progress Note,DEV FP Annual TZ,21
BF NOTE,BF-Well Child 3 years NCHD,21
BH Office Visit,Blank Note,21
Diagnostic Test,Treadmill Exercise Test,21
Progress Note,BCCCP-Cervical Screening Data,21
Progress Note,FP Problem,21
Progress Note,Shortness of Breath,21
Admit Note,ST Results,21
Admit Note,ZZ BCCCP 2018 Breast Screening,21
Adult Sick or Problem Focused,CCHD Adult Acute Care,21
Progress Note,TB Screening Form SCHD,21
Progress Note,Barton IM Injection,21
Progress Note,Emergency Contraception,21
Progress Note,Employee Health,21
Progress Note,RCPH Record TB Screening Form,21
Progress Note,CD - Blank,20
Child Health,CH-BF Well Child 9-10yrs. LCHD,20
Progress Note,Barton Depo,20
VLab Report ,Lower Extremity Vein Mapping ,20
Progress Note,CD,20
Progress Note,BH Psychiatry H and P,20
Progress Note,Angiogram Nonphysician,20
Progress Note,MH 17P Injection,20
Progress Note,COVID-19 Testing Home Visit,20
Admit Note,Follow Up,20
Initial Evaluation,PT eval Mike 24,20
Admit Note,Well Child 12 month visit 2019,20
Progress Note,BF - WCC 18-21yr Visit,20
Initial Psychology,Psych Eval Dr. Darcy Alexander,20
Progress Note,BF - Well Child 3 Year NEW,20
BCCCP,AH/BCCCP Annual,20
Primary Care,CC-OMH Initial Visit,20
Progress Note,ZBF - WCC 3-5 days,20
Progress Note,CC-OMH Initial Visit,20
Progress Note,ZZ Z Pregnancy Tst and Counsel,19
Admit Note,SCHD Nurses Note,19
Progress Note,BF - WCC 2/h Year Visit,19
Initial Psychology,Psych Eval Dr. O'Malley,19
Admit Note,CCHD BCCCP Needs Assessment,19
Limited note,FP-Problem Visit,19
Progress Note,Blank Template,19
Progress Note,TB Record of TB Screening,19
Progress Note,Depression follow up,19
Progress Note,CO -C-19 Mod Vaccine-4th Dose,19
Progress Note,Hyperlipidemia,19
BCCCP Follow Up,BCCCP PATIENT NAVIGATION,19
VLab Report ,Mesenteric Duplex,19
H&P Note,Phone Encounter,18
MD Progress,No Show TKC,18
Admin Note,BH Closure Note.HCDPH,18
Progress Note,BF - Well Child 4 Year NEW,18
Admit Note,CCHD COVID FP,18
Progress Note,Wound Check,18
Progress Note,BF Well Child 6 Years,18
Progress Note,BF-Well Child 12 Mth RPM,18
Progress Note,zzzMH-GVPH New OB Complete,18
Procedure Report,Peripheral Angio Provider Note,18
Progress Note,CO - C-19 Pfz Vaccine-3RD Dose,18
Well Child Check,CH Physical 7-8 Years Old,18
Progress Note,FP - Male Flow 2814M,18
Progress Note,Well child 5year Visit 2019,17
Progress Note,BF-Problem Visit-telemedicine,17
FP History ,FP 4060M - Male Health Hx,17
Progress Note,Lab Services,17
Progress Note,Adult Health Problem Visit,17
Progress Note,Well Adolscnt 11-14yr Vst 2019,17
Progress Note,Pregnancy Test MCHD 2020,17
Progress Note,Sexually Transmitted Diseases,17
Progress Note,Home Visit - Postnatal SCHD,17
Progress Note,TB DOT Progress Note,17
Progress Note,ZZZ Medication Encounter,17
Note,Progress Note,17
Progress Note,Diarrhea Acute,17
Admit Note,Gaffney Allergy Testing Note,17
Progress Note,DCHD-TB EPIDEMIOLOGICAL RECORD,17
Progress Note,MH Sick Note,16
VLab Report ,ABI with Exercise ,16
Admit Note,BF 2022 WCC 2 1/2 YEARS,16
Gestational Diabetic,Gestational Diabetic,16
Progress Note,Hepatitis Case Management,16
H&P Note,ASA Patient Progress Note,16
Initial Medical,IME Dr. Carlton,16
Family Planning,FP Annual / PP Visit- LCHD,16
Family Planning,FP Annual - Male Revised,16
Initial Evaluation,PT eval Sam,16
Progress Note,IUD Removal SCHD,16
Progress Note,MH - Problem Visit,16
Progress Note,FP Supply/Problem Visit,16
DOT PHYSICAL,DOT PHYSICAL,16
Progress Note,BF-Well Child 18 Mth RPM,16
Progress Note,SPORTS PHYSICAL-LIMITED,16
Progress Note,Well Child 6 Month Visit 2019,16
Progress Note,BCCCP CMC care plan,16
Admit Note,Lab/Radiology Review Note,16
BF NOTE,BF-Well Child 2 years NCHD,16
Well Child Check,CH Physical 4 Years Old,16
Progress Note,CH-Well Child 2 days to 3 wks,16
Admit Note,CP-FNA,16
Diabetic Education,Diabetic Education - Week 1,16
Admin Note,Phone Encounter,16
TB Epidemiology Record,TB Epidemiological Record,16
Progress Note,Joint Pain/Arthralgias,15
BF NOTE,BF-Well Child 6 Months NCHD,15
BH Note,BH New Diagnostic Assessment,15
Referral,MANAGED CARE NOTE,15
Progress Note,SCHD BF Well Child 3 years,15
Progress Note,FP Male Flow 2814M RPM,15
H&P Note,'23 SHC New PT H-P/Eval/Exam,15
Progress Note,Maternity NEW History MCHD,15
Procedure,Jessica TPI- Meds,15
Progress Note,STD Case Management,15
STD Note,Follow-up Note,15
Progress Note,HCM Procedure Note,15
Admit Note,ZZZ YC APC Sick Visit,15
Progress Note,BF-Well Child 6 Months ,15
Progress Note,FP - IUD Check - WCHD,15
Progress Note,CD Nurse Note,15
Progress Note,CD - Tuberculosis Drug Record,15
Well Child,Well Child 4 Year Exam,15
Admit Note,Well Child 2year Visit 2019,15
Progress Note,CCNC Pregnancy Home Risk ,15
Progress Note,"zzPeds, Asthma Note",15
Progress Note,ADHD Follow Up Adult,15
TB Epi Record Part 1,CCHD TB Epi Record,15
Progress Note,Chest Pain,15
Encounter Note,LCHD Lab Visit Note,15
Admit Note,HWC - Blank Note,15
Admit Note,CC4C Note,15
Progress Note,Well child 2month visit 2019,15
Progress Note,BF- Well Child 2 Month,15
Progress Note,zzzCH Problem Visit,15
Progress Note,Test Results,14
Triage Note,Triage Note,14
Progress Note,FP - Nexplanon Removal - WCHD,14
Progress Note,FC CESI,14
Admit Note,CD- TB Individual Contact Form,14
Child Health,CH-BF Well Child 15-21yr- LCHD,14
Progress Note,Asthma,14
Progress Note,FP Postpartum CP MCHD 2020,14
Progress Note,FP-Male Flow 2814M,14
Procedure Note,BCCCP 6 month F/U visit,14
Progress Note,MH-New Maternity,14
Combination Services,TB Skin Test Reading ,14
VLab Report ,IVC Duplex,14
Admit Note,Primary Care Note,14
MH Note,MH New History,14
Admit Note,CCHD FP FEMALE ANNUAL/NEW,14
Progress Note,Immunization-MPOX vaccine,14
H&P Note,FP - Nexplanon Implant Removal,14
Admit Note,BCCCP Referral Note,14
Progress Note,Hand Pain,14
COVID19 Vaccine note,COVID-19 Vaccine Note,14
Progress Note,MVA,14
Monthly Eval,TB Monitoring Flow Sheet- LCHD,14
Admit Note,MH - Problem Visit,14
Progress Note,Edinburgh Depression Scale,14
Progress Note,Well Child 4 year Visit 2019,14
Progress Note,Well Child 2 1/2 Yr Visit 2019,14
BF NOTE,BF-Well Child 12 Months NCHD,14
Dictation Note,CVS MD Note,14
Progress Note,FP Annual,14
Progress Note,FP MALE Hx/Initial/Ann,14
Progress Note,zzMH-Follow Up Visit Note,14
Progress Note,TB Epi Record Pt1-WCHD,14
Progress Note,FP - IUD Insertion - WCHD,13
Progress Note,AH Depo Admin,13
Progress Note,Home Visit - Newborn SCHD,13
Progress Note,MNT,13
Progress Note,TB Test,13
Progress Note,ZBF - WCC 2 month,13
Progress Note,BF-Well Child 9-10yrs. ,13
Admit Note,Well Child 3year Visit 2019,13
Diabetic Education,Diabetic Education - Week 2,13
Nurse Admin ,MH - Problem Visit,13
Well Child,Well Child 3 Year Exam,13
Well Child Check,CH Physical 3 Years Old,13
MH Intake,z-MH Initial HX Nurse.HCDPH,13
BCCCP,BCCCP Follow Up Note,13
Progress Note,Well Child 18 month visit 2019,13
Admin Note,CD - Rabies Titer,13
Phone Encounter,TB Nurse Note,13
Hepatitis C Initial Visit,CCHD Hepatitis C Initial Visit,13
BF NOTE,BF-Well Child 18 Months NCHD,13
Follow UP,Harry - Med Follow Up,13
Progress Note,Well Adolscnt 15-17yr Vst 2019,13
Admit Note,BF 2022 WCC 18-20 YEARS,13
Progress Note,zzGen Immunization Note,13
Progress Note,PC - Medicare Wellness Exam,13
Admit Note,Phone Encounter2,13
Child Health,CH-BF Well Child 7-8yrs.-LCHD,13
Progress Note,Well Child 9 /10 yr visit 2019,13
Progress Note,BF-Well Child 2 1/2 yearsRPM,12
Progress Note,BF-Well Child 2 1/2 years-WCHD,12
Progress Note,FP Male Flow 2814M NCHD,12
H&P Note,Nexplanon Insertion,12
Progress Note,APC-Well Women Exam BCHD,12
Progress Note,Therapy Initial/Intake,12
Progress Note,WISEWOMAN Visit,12
TB Follow Up,Phone Encounter,12
Progress Note,Well Child 7/8 year Visit 2019,12
Progress Note,Allergic Rhinitis,12
Progress Note,Well child 4month Visit 2019,12
Progress Note,Well Child 6 Year Visit 2019,12
Procedure Report,Varithena Ablation,12
BCCCP Visit,CCHD BCCCP Visit,12
Admit Note,Well Child 9 month visit 2019,12
Progress Note,EMG - LE,12
PhoneEncounter,MTW Phone Encounter,12
VLab Report ,Bilat Lwr Extre Venous Duplex,12
Progress Note,Lab Results NCHD,12
Encounter Note,LCHD 17yo and under Physical,12
Progress Note,Jynneos Vaccine Consent Form,12
Progress Note,COVID-19 NOTE,12
Admit Note,testttt,12
Progress Note,MOUD Initial,12
FP History ,Phone Encounter,12
FP History ,FP- Male Health Hx RPM,12
Progress Note,Dr. Tarkington Note ,12
Diabetic Education,Diabetic Education - Week 4,12
TB Notes,TB X-Ray Visit,12
Progress Note,PT/INR,12
FP History ,FP Male History Form,12
VLab Report ,Lft Upper Extre Arterial Duple,12
FP History ,FP - 4060M - Male Health Hx,12
H&P Note,Hepatitis C Intake Visit,12
BF NOTE,BF-Well Child 9 Months NCHD,12
Progress Note,TB Flow Sheet NCHD,11
Progress Note,MH Home Visit - Postnatal,11
Progress Note,BF-Well Child 15 Mth RPM,11
FP History ,zzz FP 4060F -  Health Hx BCHD,11
Progress Note,ZBF - WCC 1 Month,11
Progress Note,MH - 3 Ultrasound,11
Progress Note,FP Method Procedure Note.HCDPH,11
Progress Note,FP-IUD Procedure Note,11
Admit Note,Weight CHeck,11
BF NOTE,BF-Well Child 15 Months NCHD,11
Progress Note,Lead Surveillance,11
Progress Note,TB Epi F/U- CCHD,11
H&P Note,IUD Check,11
Progress Note,TB-Record of TB Screening,11
Progress Note,Test Note Template,11
Progress Note,17 P Flow Sheet,11
SW Note,HB Postpartum Service Log,11
Well Child,Well Child 2 Year Exam,11
SW Note,HB Intial Pregnant Assessment,11
Progress Note,Surgeon History and Physical,11
MH FLOW,Maternal Flow,11
Progress Note,BF Well Child 2.5 Year,11
ST Eval,Phone Encounter,11
Physical Therapy,PT Daily Note,11
PHQ,PHQ-4,11
Diabetic Education,Diabetic Education - Week 3,10
Progress Note,Migraine Follow up,10
Admit Note,Gaffney Assessment,10
Family Planning,FP Evaluation Visit- LCHD,10
Progress Note,ZBF-Well Child 2 1/2 years,10
Progress Note,Nurse Admin,10
Child Health,BF-Well Child 2 1/2 years,10
Adult Physical,CCHD  Adult Health Physical,10
Adult Health,Nursing School Physical,10
Admit Note,zSTD Note,10
Progress Note,STD Treatment Syphilis,10
Admit Note,Recertification MedSLP,10
Admit Note,Well Child 18 month visit 2019,10
CH Followup,CH Follow-up- LCHD,10
H&P Note,'23 SHC New Pt Lumbar w/ Exam,10
Progress Note,Blood Pressure Evaluation,10
Progress Note,Anxiety New Diagnosis,10
Newborn Home Visit,Home Visit Newborn- LCHD,10
WiseWoman,WW Form DHHS 4049- LCHD,10
MH Intake,z-CCNC Pregnancy Home Risk ,10
Progress Note,BF - Well Child 6 Month NEW,10
Nurse Progress Note,Dispensed Medications RN,10
Progress Note,CD - Meningitis Contact,9
Phone Encounter,CH - COVID19 Test Results,9
H&P Note,IUD Insertion,9
Progress Note,PAP,9
Admit Note,Intake Note,9
PrEP,PrEP Initial Visit,9
Progress Note,Cryotherapy Form,9
Progress Note,FP  Post Partum Visit,9
Phone Encounter,Form Completion Note,9
Progress Note,"New Maternity A,B,C,D",9
Well Child Check,CH Physical 2 Years Old,9
Procedure Report,RF VEIN ABLATION,9
Progress Note,Acne,9
Admit Note,Pertussis Contact Management,9
FP History ,FP 4060F - Female HX CHS,9
Well Baby,Well Baby 4 Month Exam,9
Well Baby,Well Baby 6 Month Exam,9
Progress Note,Well Child 5 Year Visit 2019,9
Progress Note,Toe Pain,9
Progress Note,Employee Health Sick Visit,9
Progress Note,MCHD - GENERAL NURSE NOTE,9
Progress Note,Hemorrhoids,9
Progress Note,Viral Hepatitis EPI Record 2,9
Progress Note,TB Drug Monitoring,9
TB Notes,Refugee Communicable Disease,9
Well Baby,Well Baby Newborn Exam,9
Progress Note,zzMH - Prenatal Initial - HC,9
BF NOTE,BF-Well Child 4 Months NCHD,9
Progress Note,Skin Lesions,9
BF NOTE,BF-Well Child 2 1/2 years NCHD,9
Progress Note,BF - Well Child 4 yrs,9
BF NOTE,BF - Well Child 1 Month NCHD,9
Low Risk Screening,AH-Low Risk Screening for TB,9
Nurse Progress Note,Pap Smear Follow-Up,9
Nurse Progress Note,FP Supply,9
Progress Note,Sexually Transmitted Diseases ,9
Well Baby,Well Baby 12 Month Exam,9
MD Progress,Late Cancelation TKC,9
Psychology,Late Cancelation WBO,8
Well Baby,Well Baby 2 Month Exam,8
Admit Note,Hepatitis C Follow Up,8
Admit Note,zzz Family Planning Treatment,8
Progress Note,Quick Start Standing Order- HC,8
Provider Progress Note,General Provider Note,8
Progress Note,LB Clinical Assessment,8
Progress Note,Telemedicine,8
Progress Note,Ankle Pain,8
Admit Note,RCPH TB Risk Assessment,8
Admit Note,MH-17 P Injection Note,8
Psychology,No Show DA,8
Postnatal Home Visit,Home Visit Postnatal- LCHD,8
Admit Note,STI Encounter Form,8
H&P Note,Nexplanon Removal,8
TB Notes,DEV TB Monthly Assessment,8
Progress Note,MAT Initial Visit,8
Progress Note,Vertigo,8
Progress Note,BF-Well Child 7-8yrs. ,8
Procedure Report,Loop Implant,8
Admit Note,Case Management Note,8
Admit Note,Well Adolscnt 15-17yr Vst 2019,8
CD Note,DEV CD Encounter,8
Progress Note,CPC OUD Return patient note,8
Nurse Progress Note,ST RN Brief Treatment,8
Progress Note,Pre-Immigration Exam,8
Progress Note,Rib Pain,8
VLab Report ,Rgt Upper Extre Bypass Graft ,8
Child Health,CH-BF Well Child 3 years,8
BCCCP,BCCCP,8
Admit Note,MAT Intake Note,8
Refugee Notes,Refugee Communicable Disease,8
E M Visit Established Patient,'23 SHC ROF,8
Consultation Report,TB Jet Set,8
Progress Note,zzHome Visit - Newborn,8
Progress Note,Home Visit - Postnatal - WCHD,8
Progress Note,COPD,8
Progress Note,SCHD BF Well Child 2 years,8
Progress Note,Emergency Contraception FS 2,7
Progress Note,WCC 4 Years-BF,7
H&P Note,APC-Well Male Exam,7
Procedure,Jessica- Suboxone Induction,7
Progress Note,Weight Loss,7
Progress Note,BF-Well Child 4 Mth RPM,7
STD Note,Blank Note,7
Progress Note,Weight Gain,7
Progress Note,"FC RF L3/4, L4/5, L5/S1 B",7
Procedure,Jessica Bilat SIJ-meds,7
TB Notes,TB and Refugee Follow Up,7
Admit Note,Nexplanon Removal /ReInsertion,7
Progress Note,WYA 18 through 21yr Vst 2019,7
H&P Note,'23 SHC Patient Exam - All,7
Progress Note,WCC 5 Years-BF,7
FP History ,FP Female Problem Visit,7
Admit Note,BFTK PROBLEM VISIT 2019,7
Progress Note,URI Ped,7
Progress Note,Sick Visit,7
VLab Report ,WBI,7
Progress Note,Psychosocial Risk Screen,7
Progress Note,zzHome Visit - Postnatal,7
Progress Note,Pregnancy Test Only,7
Well Baby,Well Baby 15 Month Exam,7
Procedure Report,Loop Explant,7
Progress Note,Phone Encounter SCHD,7
Progress Note,TB EPI RECORD PT 1,7
Phone Encounter,Diabetes Education - Phone,7
CONSULT and EVALUATION,'23 SHC New PT H-P/Eval/Exam,7
Progress Note,ADHD Evaluation,7
Admit Note,CCHD PN Initial Physical Exam,7
Child Health,CH-BF Well Child 4 yrs.-LCHD,7
Admit Note,Well Adolscnt 11-14yr Vst 2019,7
Admit Note,"CCHD COVID PC Visit- Sick, F/U",7
Admit Note,WISEWOMAN Follow-Up,7
Admit Note,Abnormal Pap Test Follow Up,7
Progress Note,APC -Initial Visit,7
Progress Note,STI Express Visit,7
Admit Note,Surgeon History and Physical,7
Progress Note,MNT - Follow up,7
Admit Note,SCHD Hearing Test,7
Off-Service Note,LAB RESULTS,7
Preoperative Clearance Form,BCCCP Visit,7
Progress Note,BF-Well Child 9 Mth RPM,7
Psychology,No Show WBO,7
Psychology,PPN OutPatient Dr. Price,7
Progress Note,BF-Well Child 6 Mth RPM,7
Progress Note,BCCCP Only Visit,7
Progress Note,Record of TB Screening,7
Progress Note,FP - IUD Removal - WCHD,7
Injection Note,Covid Vaccine,7
MH Intake,zzNew Maternity Intake RN Only,7
TB Notes,TB RN Visit Note,7
Progress Note,Wilby Kurian,7
Progress Note,Home Visit - Newborn - WCHD,7
Progress Note,GERD,7
TB Notes,TB Lab Only Visit,7
Admit Note,Lab Order form,7
MH Intake,z-MH Initial Provider PE.HCDPH,7
Progress Note,Follow Up Note,7
Progress Note,FP Male Exam,7
Progress Note,BF - Well Child 2 1/2 Year NEW,7
Surgery Note,HCM - HandP,7
Progress Note,BF - Well Child 18 Month NEW,7
Progress Note,FP - Nurse Interview,7
Initial Psychology,Psych Eval Dr. Price,7
Progress Note,BF - Well Child 9 Month NEW,7
Admit Note,FP - Depo Injection - WCHD,7
Progress Note,Well Child 1 month visit 2019,7
Procedure,Jessica Right SIJ- meds,7
Progress Note,BF - Well Child 15 Month NEW,7
Progress Note,Head Injury,6
Progress Note,APC-Well Male Exam ,6
Family Planning,Transfer FP Patient,6
Progress Note,Elbow Pain,6
Progress Note,MNT ADULT VISIT,6
Progress Note,Abnormal Menstrual Periods,6
Progress Note,BH CCA 1 Nurse,6
TB Follow Up,TB FLOW SHEET,6
Telehealth,TelemedCH Sick Visit/Prob Note,6
BCCCP Note,Follow-up Note,6
Admit Note,SCHD FP Periodic Female Flow,6
Off-Service Note,Discharge Summary MedSLP,6
Progress Note,MH Home Visit - Newborn,6
FP History ,FP Male Self Hx 4060F,6
FP History ,FP 4060M - Male Health Hx SCHD,6
Progress Note,Barton PC Annual Note,6
Paraguard IUD,FP Paragard IUD Insert- LCHD,6
Progress Note,DCHD - Hearing and Vision Form,6
Well Child Check,CH Physical 12 Months Old,6
Progress Note,CH - Bright Future Form Visit,6
Progress Note,CH Initial History,6
Admit Note,CCHD-Postpartum Visit,6
BF NOTE,BF - Well Child 2 Month NCHD,6
Phone Encounter,SCHD Nurses Note,6
Progress Note,Skin Infections,6
BH Note,BH Follow-Up,6
Progress Note,zzAPC-Well Women Exam,6
Phone Encounter,Lab Results,6
Progress Note,Pregnancy Risk Screening Form,6
Admit Note,Intake Assessment,6
CCA Note,BH - CCA Note,6
Progress Note,Medication request/refill,6
CDL Physical,CCHD CDL Medical,6
Phone Encounter,ED/Hospital Follow-up Note,6
Combination Services,Lab Only,6
Progress Note,Bite Insect,6
Progress Note,Neuropathy,6
Progress Note,ZZZ Lab Only,6
Progress Note,SCHD FP Periodic Male Flow,6
Progress Note,SCHD BF Well Child 18 Months,6
Admit Note,Titers,6
Progress Note,ZZZ CH Visit,6
Progress Note,apc,6
Progress Note,Dental Varnishing,6
H&P Note,COVID Vaccination Note,6
Progress Note,BF - Well Child 12 Month NEW,6
Follow up,DCHD RESULTS,6
Progress Note,"FC MBB L3/4,4/5,5/S1 B",6
H&P Note,Kim - Note,6
Progress Note,Lab Results - WCHD,6
Progress Note,LEEP Note,6
Progress Note,LTBI,6
Progress Note,FC Ketamine Infusion,6
Progress Note,CCHD Immunization Note,5
Progress Note,TB X-Ray / Dx,5
Progress Note,STD Screening,5
TB Notes,TB Risk Assessment,5
BCCP Follow Up,BCCCP-Breast Screening Data,5
Progress Note,Constipation,5
Admit Note,BF - WCC 2 year Visit,5
BF 11 to 14 Year Visit,BF - 11-14 Years - Clay,5
Admit Note,APC-Follow UP,5
Progress Note,Group Counseling,5
Procedure,Jessica Bilat knee- meds,5
Progress Note,FP Male Flow 2814M SCHD,5
Admit Note,2018 Cervical Screening Form,5
Progress Note,Case Management,5
Progress Note,ADHD,5
Nurse Progress Note,DEV FP Supply TZ,5
Progress Note,MH-Clinic Reschedule,5
Admit Note,DLH-Procedure,5
Progress Note,ADPH - New Component Note,5
Admit Note,Well Child 6 Year Visit 2019,5
Well Child Check,CH Physical 15 Months Old,5
Progress Note,iPsychiatric/Therapy Prog note,5
Progress Note,DCHD PP HOME VISIT,5
Progress Note,Medicare Wellness Exam annual,5
Progress Note,DCHD NEWBORN ASSESSMENT,5
Admit Note,Asthma Exacerbation,5
Admit Note,TB-LTBI Orders,5
Phone Encounter,Appointment Reminder,5
Progress Note,ZZZ Granville/Vance Test Note,5
Progress Note,Maternal Health Ed. Sheet,5
ST Eval,STD- LCHD,5
H&P Note,'23 SHC New Pt Cervical w/ Exm,5
Progress Note,BF - Well Child 2 Months,5
VLab Report ,Bilat Upper Extr Arterial Dupl,5
Provider Progress Note,DEV TB Provider Exam TZ SJ,5
